,key_original_file,size,isEmpty,has_zeros,cnt_zeros,cnt_positive_numbers,cnt_negative_numbers,get_minimum,get_maximum,get_sum,get_mean,get_median,get_range,has_duplicates,is_sorted,count_distinct_values,contains_even_numbers,contains_odd_numbers,contains_integers,pp_numbers,pn_numbers,more_positive_or_negative,weigth_of_list,vs,vs_str
36,36,6,False,True,1,2,3,-30,11,-46,-7.666666666666667,-4.0,41,True,False,4,True,True,True,3.6666666666666665,-11.333333333333334,n,wn,1,Violate
37,37,14,False,False,0,12,2,-17,21,131,9.357142857142858,11.5,38,True,False,11,True,True,True,11.214285714285714,-1.8571428571428572,p,wp,0,No-violate
38,38,7,False,False,0,3,4,-32,22,-23,-3.2857142857142856,-5.0,54,False,False,7,True,True,True,8.0,-11.285714285714286,n,wn,1,Violate
39,39,5,False,False,0,1,4,-18,13,-45,-9.0,-14.0,31,False,False,5,True,True,True,2.6,-11.6,n,wn,1,Violate
40,40,7,False,False,0,3,4,-15,27,19,2.7142857142857144,-3.0,42,True,False,6,True,True,True,8.0,-5.285714285714286,n,wp,0,No-violate
41,41,6,False,False,0,2,4,-16,24,14,2.3333333333333335,-1.0,40,True,False,5,True,True,True,6.666666666666667,-4.333333333333333,n,wp,0,No-violate
42,42,6,False,True,1,3,2,-9,27,52,8.666666666666666,6.5,36,False,False,6,True,True,True,10.333333333333334,-1.6666666666666667,p,wp,0,No-violate
43,43,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
44,44,6,False,False,0,5,1,-10,26,63,10.5,12.0,36,False,False,6,True,True,True,12.166666666666666,-1.6666666666666667,p,wp,0,No-violate
45,45,1,False,False,0,1,0,5,5,5,5.0,5.0,0,False,True,1,False,True,True,5.0,0.0,p,wp,0,No-violate
46,46,7,False,True,1,2,4,-16,23,-14,-2.0,-5.0,39,False,False,7,True,True,True,3.5714285714285716,-5.571428571428571,n,wn,1,Violate
47,47,12,False,False,0,10,2,-17,25,119,9.916666666666666,9.0,42,True,False,11,True,True,True,11.416666666666666,-1.5,p,wp,0,No-violate
48,48,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
49,49,13,False,True,1,7,5,-10,22,41,3.1538461538461537,1.0,32,True,False,11,True,True,True,6.384615384615385,-3.230769230769231,p,wp,0,No-violate
50,50,3,False,False,0,2,1,-17,20,9,3.0,6.0,37,False,False,3,True,True,True,8.666666666666666,-5.666666666666667,p,wp,0,No-violate
51,51,11,False,False,0,4,7,-26,24,-70,-6.363636363636363,-17.0,50,True,False,9,True,True,True,6.545454545454546,-12.909090909090908,n,wn,1,Violate
52,52,9,False,True,1,4,4,-20,11,-35,-3.888888888888889,0.0,31,True,False,6,True,True,True,3.6666666666666665,-7.555555555555555,e,wn,1,Violate
53,53,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
54,54,12,False,False,0,6,6,-30,30,26,2.1666666666666665,0.5,60,True,False,10,True,True,True,9.166666666666666,-7.0,e,wp,0,No-violate
55,55,7,False,False,0,5,2,-24,23,37,5.285714285714286,8.0,47,False,False,7,True,True,True,10.0,-4.714285714285714,p,wp,0,No-violate
56,56,10,False,True,1,4,5,-25,17,-59,-5.9,-4.5,42,True,False,9,True,True,True,3.0,-8.9,n,wn,1,Violate
57,57,2,False,False,0,2,0,6,20,26,13.0,13.0,14,False,False,2,True,False,True,13.0,0.0,p,wp,0,No-violate
58,58,13,False,False,0,4,9,-30,22,-148,-11.384615384615385,-20.0,52,True,False,12,True,True,True,4.461538461538462,-15.846153846153847,n,wn,1,Violate
59,59,11,False,False,0,5,6,-20,13,-31,-2.8181818181818183,-3.0,33,True,False,10,True,True,True,3.8181818181818183,-6.636363636363637,n,wn,1,Violate
60,60,11,False,True,1,6,4,-27,22,29,2.6363636363636362,2.0,49,False,False,11,True,True,True,7.636363636363637,-5.0,p,wp,0,No-violate
61,61,14,False,False,0,7,7,-25,26,11,0.7857142857142857,-1.0,51,False,False,14,True,True,True,7.071428571428571,-6.285714285714286,e,wp,0,No-violate
62,62,12,False,False,0,2,10,-30,19,-128,-10.666666666666666,-11.5,49,True,False,11,True,True,True,2.75,-13.416666666666666,n,wn,1,Violate
63,63,14,False,False,0,10,4,-17,30,117,8.357142857142858,7.0,47,True,False,13,True,True,True,11.571428571428571,-3.2142857142857144,p,wp,0,No-violate
64,64,11,False,False,0,8,3,-11,20,67,6.090909090909091,5.0,31,False,False,11,True,True,True,7.818181818181818,-1.7272727272727273,p,wp,0,No-violate
65,65,9,False,False,0,2,7,-18,20,-13,-1.4444444444444444,-3.0,38,False,False,9,True,True,True,3.7777777777777777,-5.222222222222222,n,wn,1,Violate
66,66,7,False,False,0,4,3,-13,16,20,2.857142857142857,8.0,29,False,False,7,True,True,True,6.571428571428571,-3.7142857142857144,p,wp,0,No-violate
67,67,13,False,False,0,8,5,-12,20,47,3.6153846153846154,4.0,32,True,False,10,True,True,True,6.461538461538462,-2.8461538461538463,p,wp,0,No-violate
68,68,13,False,False,0,9,4,-15,22,95,7.3076923076923075,12.0,37,True,False,12,True,True,True,10.615384615384615,-3.3076923076923075,p,wp,0,No-violate
69,69,9,False,True,1,4,4,-16,18,-6,-0.6666666666666666,0.0,34,True,False,8,True,True,True,4.111111111111111,-4.777777777777778,e,wn,1,Violate
70,70,3,False,False,0,1,2,-13,2,-13,-4.333333333333333,-2.0,15,False,False,3,True,True,True,0.6666666666666666,-5.0,n,wn,1,Violate
71,71,6,False,False,0,1,5,-22,27,-36,-6.0,-9.0,49,True,False,4,True,True,True,4.5,-10.5,n,wn,1,Violate
72,72,12,False,False,0,5,7,-13,19,-9,-0.75,-6.0,32,True,False,11,True,True,True,4.333333333333333,-5.083333333333333,n,wn,1,Violate
73,73,13,False,True,1,7,5,-19,24,6,0.46153846153846156,3.0,43,True,False,11,True,True,True,6.0,-5.538461538461538,p,wp,0,No-violate
74,74,11,False,False,0,3,8,-17,8,-60,-5.454545454545454,-8.0,25,True,False,8,True,True,True,2.0,-7.454545454545454,n,wn,1,Violate
75,75,12,False,True,1,4,7,-14,12,-1,-0.08333333333333333,-1.0,26,True,False,9,True,True,True,3.0833333333333335,-3.1666666666666665,n,wn,1,Violate
76,76,4,False,False,0,0,4,-21,-9,-69,-17.25,-19.5,12,True,False,3,True,True,True,0.0,-17.25,n,wn,1,Violate
77,77,1,False,False,0,1,0,19,19,19,19.0,19.0,0,False,True,1,False,True,True,19.0,0.0,p,wp,0,No-violate
78,78,13,False,False,0,7,6,-16,21,23,1.7692307692307692,5.0,37,True,False,11,True,True,True,7.230769230769231,-5.461538461538462,p,wp,0,No-violate
79,79,3,False,False,0,2,1,-15,17,6,2.0,4.0,32,False,False,3,True,True,True,7.0,-5.0,p,wp,0,No-violate
80,80,5,False,False,0,2,3,-28,29,-14,-2.8,-5.0,57,False,False,5,True,True,True,8.4,-11.2,n,wn,1,Violate
81,81,9,False,False,0,4,5,-24,22,-22,-2.4444444444444446,-6.0,46,False,False,9,True,True,True,5.777777777777778,-8.222222222222221,n,wn,1,Violate
82,82,4,False,False,0,0,4,-15,-3,-32,-8.0,-7.0,12,False,False,4,True,True,True,0.0,-8.0,n,wn,1,Violate
83,83,12,False,False,0,4,8,-23,17,-72,-6.0,-7.5,40,True,False,11,True,True,True,2.75,-8.75,n,wn,1,Violate
84,84,8,False,True,1,5,2,-7,17,31,3.875,4.0,24,False,False,8,True,True,True,5.25,-1.375,p,wp,0,No-violate
85,85,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
86,86,10,False,False,0,5,5,-26,11,-52,-5.2,-0.5,37,True,False,9,True,True,True,2.6,-7.8,e,wn,1,Violate
87,87,1,False,False,0,0,1,-10,-10,-10,-10.0,-10.0,0,False,True,1,True,False,True,0.0,-10.0,n,wn,1,Violate
88,88,11,False,False,0,3,8,-26,13,-99,-9.0,-9.0,39,True,False,10,True,True,True,1.3636363636363635,-10.363636363636363,n,wn,1,Violate
89,89,12,False,True,1,4,7,-16,14,-25,-2.0833333333333335,-2.5,30,True,False,10,True,True,True,2.9166666666666665,-5.0,n,wn,1,Violate
90,90,14,False,False,0,7,7,-22,26,37,2.642857142857143,1.5,48,True,False,13,True,True,True,7.857142857142857,-5.214285714285714,e,wp,0,No-violate
91,91,14,False,False,0,10,4,-18,19,58,4.142857142857143,6.5,37,True,False,13,True,True,True,7.857142857142857,-3.7142857142857144,p,wp,0,No-violate
92,92,6,False,False,0,3,3,-24,14,-40,-6.666666666666667,-8.0,38,False,False,6,True,True,True,4.0,-10.666666666666666,e,wn,1,Violate
93,93,7,False,False,0,3,4,-11,10,-14,-2.0,-6.0,21,False,False,7,True,True,True,2.5714285714285716,-4.571428571428571,n,wn,1,Violate
94,94,10,False,True,1,8,1,-12,20,73,7.3,9.0,32,True,False,9,True,True,True,8.5,-1.2,p,wp,0,No-violate
95,95,1,False,False,0,1,0,8,8,8,8.0,8.0,0,False,True,1,True,False,True,8.0,0.0,p,wp,0,No-violate
96,96,9,False,True,1,6,2,-13,28,88,9.777777777777779,10.0,41,True,False,8,True,True,True,11.88888888888889,-2.111111111111111,p,wp,0,No-violate
97,97,11,False,False,0,7,4,-8,19,65,5.909090909090909,11.0,27,True,False,7,True,True,True,8.636363636363637,-2.727272727272727,p,wp,0,No-violate
98,98,8,False,True,1,4,3,-8,25,60,7.5,3.5,33,True,False,7,True,True,True,9.375,-1.875,p,wp,0,No-violate
99,99,8,False,False,0,4,4,-17,26,34,4.25,4.0,43,False,False,8,True,True,True,9.25,-5.0,e,wp,0,No-violate
100,100,14,False,False,0,4,10,-22,14,-58,-4.142857142857143,-5.5,36,True,False,11,True,True,True,3.2857142857142856,-7.428571428571429,n,wn,1,Violate
101,101,11,False,False,0,7,4,-22,20,32,2.909090909090909,5.0,42,False,False,11,True,True,True,7.2727272727272725,-4.363636363636363,p,wp,0,No-violate
102,102,13,False,False,0,3,10,-18,14,-109,-8.384615384615385,-13.0,32,True,False,11,True,True,True,2.076923076923077,-10.461538461538462,n,wn,1,Violate
103,103,11,False,False,0,3,8,-18,21,-36,-3.272727272727273,-8.0,39,False,False,11,True,True,True,4.7272727272727275,-8.0,n,wn,1,Violate
104,104,9,False,False,0,5,4,-25,15,-26,-2.888888888888889,1.0,40,True,False,8,True,True,True,3.3333333333333335,-6.222222222222222,p,wn,1,Violate
105,105,7,False,False,0,4,3,-21,25,48,6.857142857142857,12.0,46,True,False,6,True,True,True,11.857142857142858,-5.0,p,wp,0,No-violate
106,106,12,False,False,0,3,9,-21,13,-65,-5.416666666666667,-6.5,34,True,False,11,True,True,True,2.0,-7.416666666666667,n,wn,1,Violate
107,107,10,False,False,0,7,3,-13,26,95,9.5,12.0,39,False,False,10,True,True,True,12.2,-2.7,p,wp,0,No-violate
108,108,7,False,True,1,6,0,0,31,103,14.714285714285714,16.0,31,False,False,7,True,True,True,14.714285714285714,0.0,p,wp,0,No-violate
109,109,14,False,False,0,5,9,-15,15,-19,-1.3571428571428572,-3.0,30,True,False,11,True,True,True,2.7857142857142856,-4.142857142857143,n,wn,1,Violate
110,110,2,False,False,0,0,2,-12,-2,-14,-7.0,-7.0,10,False,False,2,True,False,True,0.0,-7.0,n,wn,1,Violate
111,111,11,False,False,0,4,7,-22,27,-3,-0.2727272727272727,-5.0,49,True,False,10,True,True,True,5.909090909090909,-6.181818181818182,n,wn,1,Violate
112,112,7,False,False,0,2,5,-24,14,-61,-8.714285714285714,-9.0,38,True,False,6,True,True,True,2.7142857142857144,-11.428571428571429,n,wn,1,Violate
113,113,6,False,False,0,0,6,-34,-10,-142,-23.666666666666668,-25.5,24,False,False,6,True,True,True,0.0,-23.666666666666668,n,wn,1,Violate
114,114,4,False,False,0,1,3,-23,26,-15,-3.75,-9.0,49,True,False,3,True,True,True,6.5,-10.25,n,wn,1,Violate
115,115,9,False,False,0,5,4,-11,17,28,3.111111111111111,5.0,28,False,False,9,True,True,True,6.444444444444445,-3.3333333333333335,p,wp,0,No-violate
116,116,6,False,False,0,5,1,-20,18,26,4.333333333333333,8.0,38,False,False,6,True,True,True,7.666666666666667,-3.3333333333333335,p,wp,0,No-violate
117,117,9,False,True,1,3,5,-24,13,-42,-4.666666666666667,-3.0,37,False,False,9,True,True,True,2.4444444444444446,-7.111111111111111,n,wn,1,Violate
118,118,2,False,False,0,2,0,7,8,15,7.5,7.5,1,False,False,2,True,True,True,7.5,0.0,p,wp,0,No-violate
119,119,1,False,False,0,1,0,21,21,21,21.0,21.0,0,False,True,1,False,True,True,21.0,0.0,p,wp,0,No-violate
120,120,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
121,121,5,False,False,0,0,5,-25,-5,-63,-12.6,-13.0,20,True,False,4,False,True,True,0.0,-12.6,n,wn,1,Violate
122,122,10,False,False,0,4,6,-25,14,-89,-8.9,-12.0,39,True,False,9,True,True,True,2.2,-11.1,n,wn,1,Violate
123,123,12,False,False,0,5,7,-28,18,-61,-5.083333333333333,-8.0,46,True,False,11,True,True,True,4.666666666666667,-9.75,n,wn,1,Violate
124,124,14,False,False,0,9,5,-15,24,103,7.357142857142857,8.0,39,True,False,11,True,True,True,9.857142857142858,-2.5,p,wp,0,No-violate
125,125,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
126,126,14,False,False,0,9,5,-18,11,-4,-0.2857142857142857,4.5,29,True,False,9,True,True,True,4.357142857142857,-4.642857142857143,p,wn,1,Violate
127,127,4,False,False,0,3,1,-7,32,42,10.5,8.5,39,False,False,4,True,True,True,12.25,-1.75,p,wp,0,No-violate
128,128,12,False,False,0,5,7,-21,13,-68,-5.666666666666667,-8.5,34,True,False,11,True,True,True,2.5833333333333335,-8.25,n,wn,1,Violate
129,129,13,False,False,0,7,6,-27,28,-20,-1.5384615384615385,1.0,55,True,False,12,True,True,True,7.076923076923077,-8.615384615384615,p,wn,1,Violate
130,130,8,False,False,0,3,5,-24,19,-26,-3.25,-3.5,43,False,False,8,True,True,True,3.0,-6.25,n,wn,1,Violate
131,131,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
132,132,8,False,False,0,4,4,-27,6,-72,-9.0,-8.0,33,False,False,8,True,True,True,1.875,-10.875,e,wn,1,Violate
133,133,8,False,False,0,3,5,-30,14,-80,-10.0,-15.5,44,False,False,8,True,True,True,4.25,-14.25,n,wn,1,Violate
134,134,5,False,False,0,2,3,-23,2,-61,-12.2,-20.0,25,True,False,4,True,True,True,0.8,-13.0,n,wn,1,Violate
135,135,6,False,False,0,4,2,-24,24,50,8.333333333333334,21.5,48,False,False,6,True,True,True,15.0,-6.666666666666667,p,wp,0,No-violate
136,136,12,False,True,1,5,6,-25,15,-27,-2.25,-4.5,40,True,False,9,True,True,True,5.5,-7.75,n,wn,1,Violate
137,137,6,False,True,1,2,3,-14,7,-17,-2.8333333333333335,-3.5,21,False,False,6,True,True,True,2.1666666666666665,-5.0,n,wn,1,Violate
138,138,4,False,False,0,2,2,-9,15,18,4.5,6.0,24,False,False,4,False,True,True,7.0,-2.5,e,wp,0,No-violate
139,139,14,False,True,1,4,9,-31,25,-118,-8.428571428571429,-10.0,56,True,False,12,True,True,True,4.0,-12.428571428571429,n,wn,1,Violate
140,140,14,False,False,0,5,9,-28,27,-90,-6.428571428571429,-16.0,55,True,False,12,True,True,True,5.642857142857143,-12.071428571428571,n,wn,1,Violate
141,141,11,False,False,0,6,5,-15,21,39,3.5454545454545454,1.0,36,True,False,10,True,True,True,7.090909090909091,-3.5454545454545454,p,wp,0,No-violate
142,142,5,False,False,0,3,2,-21,16,-1,-0.2,2.0,37,False,False,5,True,True,True,5.4,-5.6,p,wn,1,Violate
143,143,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
144,144,12,False,False,0,6,6,-17,13,-36,-3.0,1.0,30,True,False,9,True,True,True,3.4166666666666665,-6.416666666666667,e,wn,1,Violate
145,145,2,False,False,0,0,2,-21,-6,-27,-13.5,-13.5,15,False,True,2,True,True,True,0.0,-13.5,n,wn,1,Violate
146,146,9,False,False,0,4,5,-17,16,-25,-2.7777777777777777,-11.0,33,True,False,8,True,True,True,5.0,-7.777777777777778,n,wn,1,Violate
147,147,6,False,True,1,2,3,-20,21,-7,-1.1666666666666667,-6.0,41,True,False,5,True,True,True,6.166666666666667,-7.333333333333333,n,wn,1,Violate
148,148,12,False,False,0,8,4,-22,23,21,1.75,6.5,45,True,False,11,True,True,True,7.75,-6.0,p,wp,0,No-violate
149,149,1,False,False,0,1,0,16,16,16,16.0,16.0,0,False,True,1,True,False,True,16.0,0.0,p,wp,0,No-violate
150,150,11,False,False,0,3,8,-25,10,-75,-6.818181818181818,-3.0,35,True,False,9,True,True,True,2.0,-8.818181818181818,n,wn,1,Violate
151,151,3,False,False,0,2,1,-4,11,12,4.0,5.0,15,False,True,3,True,True,True,5.333333333333333,-1.3333333333333333,p,wp,0,No-violate
152,152,11,False,False,0,10,1,-7,30,176,16.0,13.0,37,True,False,9,True,True,True,16.636363636363637,-0.6363636363636364,p,wp,0,No-violate
153,153,9,False,True,1,4,4,-16,21,16,1.7777777777777777,0.0,37,False,False,9,True,True,True,5.333333333333333,-3.5555555555555554,e,wp,0,No-violate
154,154,13,False,False,0,6,7,-14,16,7,0.5384615384615384,-4.0,30,True,False,11,True,True,True,4.923076923076923,-4.384615384615385,n,wp,0,No-violate
155,155,14,False,False,0,6,8,-30,21,-15,-1.0714285714285714,-3.5,51,True,False,12,True,True,True,5.785714285714286,-6.857142857142857,n,wn,1,Violate
156,156,9,False,False,0,3,6,-22,17,-50,-5.555555555555555,-8.0,39,True,False,8,True,True,True,3.0,-8.555555555555555,n,wn,1,Violate
157,157,9,False,False,0,5,4,-27,27,48,5.333333333333333,16.0,54,False,False,9,True,True,True,12.11111111111111,-6.777777777777778,p,wp,0,No-violate
158,158,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
159,159,9,False,False,0,4,5,-21,19,-15,-1.6666666666666667,-4.0,40,True,False,8,True,True,True,4.666666666666667,-6.333333333333333,n,wn,1,Violate
160,160,6,False,False,0,2,4,-30,14,-20,-3.3333333333333335,-1.0,44,True,False,5,True,True,True,4.0,-7.333333333333333,n,wn,1,Violate
161,161,3,False,False,0,1,2,-21,25,0,0.0,-4.0,46,False,True,3,True,True,True,8.333333333333334,-8.333333333333334,n,we,0,No-violate
162,162,8,False,False,0,6,2,-3,31,110,13.75,14.5,34,True,False,7,True,True,True,14.25,-0.5,p,wp,0,No-violate
163,163,3,False,False,0,1,2,-23,17,-22,-7.333333333333333,-16.0,40,False,False,3,True,True,True,5.666666666666667,-13.0,n,wn,1,Violate
164,164,9,False,True,2,4,3,-19,16,11,1.2222222222222223,0.0,35,True,False,8,True,True,True,4.111111111111111,-2.888888888888889,p,wp,0,No-violate
165,165,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
166,166,9,False,True,1,4,4,-34,30,1,0.1111111111111111,0.0,64,False,False,9,True,True,True,9.333333333333334,-9.222222222222221,e,wp,0,No-violate
167,167,6,False,False,0,4,2,-3,18,41,6.833333333333333,8.0,21,True,False,5,True,True,True,7.833333333333333,-1.0,p,wp,0,No-violate
168,168,6,False,False,0,1,5,-28,14,-69,-11.5,-15.5,42,False,False,6,True,True,True,2.3333333333333335,-13.833333333333334,n,wn,1,Violate
169,169,11,False,True,1,3,7,-16,15,-31,-2.8181818181818183,-3.0,31,True,False,10,True,True,True,2.272727272727273,-5.090909090909091,n,wn,1,Violate
170,170,1,False,False,0,1,0,24,24,24,24.0,24.0,0,False,True,1,True,False,True,24.0,0.0,p,wp,0,No-violate
171,171,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
172,172,12,False,False,0,4,8,-21,9,-47,-3.9166666666666665,-2.0,30,True,False,11,True,True,True,2.1666666666666665,-6.083333333333333,n,wn,1,Violate
173,173,6,False,False,0,4,2,-16,21,37,6.166666666666667,9.0,37,False,False,6,True,True,True,9.333333333333334,-3.1666666666666665,p,wp,0,No-violate
174,174,1,False,False,0,1,0,13,13,13,13.0,13.0,0,False,True,1,False,True,True,13.0,0.0,p,wp,0,No-violate
175,175,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
176,176,5,False,False,0,4,1,-1,16,28,5.6,4.0,17,False,False,5,True,True,True,5.8,-0.2,p,wp,0,No-violate
177,177,4,False,False,0,3,1,-21,29,40,10.0,16.0,50,False,False,4,False,True,True,15.25,-5.25,p,wp,0,No-violate
178,178,13,False,False,0,8,5,-32,28,40,3.076923076923077,2.0,60,True,False,12,True,True,True,9.23076923076923,-6.153846153846154,p,wp,0,No-violate
179,179,2,False,False,0,1,1,-3,18,15,7.5,7.5,21,False,False,2,True,True,True,9.0,-1.5,e,wp,0,No-violate
180,180,9,False,False,0,5,4,-16,18,24,2.6666666666666665,1.0,34,True,False,8,True,True,True,6.333333333333333,-3.6666666666666665,p,wp,0,No-violate
181,181,2,False,False,0,1,1,-18,3,-15,-7.5,-7.5,21,False,False,2,True,True,True,1.5,-9.0,e,wn,1,Violate
182,182,9,False,True,1,5,3,-15,9,-9,-1.0,1.0,24,True,False,8,True,True,True,2.3333333333333335,-3.3333333333333335,p,wn,1,Violate
183,183,2,False,False,0,1,1,-14,15,1,0.5,0.5,29,False,True,2,True,True,True,7.5,-7.0,e,wp,0,No-violate
