,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
10,"[-27, -3]","[-3, -27]","[-25, -1]","[-54, -6]","[-0.037037037037037035, -0.3333333333333333]","[-27, -3, 2]",[-3],"[-1.0, 1.0]","[1.0, -1.0]","[-1.0, 1.0]","[-1.0, 1.0]","[1.0, -1.0]","[-1.3957037308467666, 0.5003466204922372, 0.8953571103545297]",error,No-violate,Violate,Violate,Violate,No-violate,Violate,0,1,1,1,0,1
11,"[0, 10, -2, 0]","[10, 0, -2, 0]","[2, 12, 0, 2]","[0, 20, -4, 0]","['ZeroDivisionError', 0.1, -0.5, 'ZeroDivisionError']","[0, 10, 2, -2, 0]","[0, 10, 0]","[-0.42640143271122083, 1.7056057308448833, -0.8528028654224417, -0.42640143271122083]","[1.7056057308448833, -0.42640143271122083, -0.8528028654224417, -0.42640143271122083]","[-0.42640143271122083, 1.7056057308448833, -0.8528028654224417, -0.42640143271122083]","[-0.42640143271122083, 1.7056057308448833, -0.8528028654224417, -0.42640143271122083]",error,"[-0.4767312946227961, 1.9069251784911845, 0.0, -0.9534625892455922, -0.4767312946227961]","[-0.7071067811865477, 1.4142135623730951, -0.7071067811865477]",No-violate,Violate,Violate,error,No-violate,No-violate,0,1,1,error,0,0
12,"[-17, 23, 7, -15, 11, -23, -24, -2, -25]","[-23, -17, -24, -2, -15, 11, 23, -25, 7]","[-15, 25, 9, -13, 13, -21, -22, 0, -23]","[-34, 46, 14, -30, 22, -46, -48, -4, -50]","[-0.058823529411764705, 0.043478260869565216, 0.14285714285714285, -0.06666666666666667, 0.09090909090909091, -0.043478260869565216, -0.041666666666666664, -0.5, -0.04]","[-17, 23, 2, 7, -15, 11, -23, -24, -2, -25]","[-17, 23, 7, -15, 11, -23, -24, -2]","[-0.58931801396986, 1.821528406815931, 0.8571898385016146, -0.4687756929305705, 1.0982744805801936, -0.9509449770877287, -1.0112161376073736, 0.31474939382481165, -1.0714872981270183]","[-0.9509449770877287, -0.58931801396986, -1.0112161376073736, 0.31474939382481165, -0.4687756929305705, 1.0982744805801936, 1.821528406815931, -1.0714872981270183, 0.8571898385016146]","[-0.58931801396986, 1.821528406815931, 0.8571898385016146, -0.4687756929305705, 1.0982744805801936, -0.9509449770877287, -1.0112161376073736, 0.31474939382481165, -1.0714872981270183]","[-0.58931801396986, 1.821528406815931, 0.8571898385016146, -0.4687756929305705, 1.0982744805801936, -0.9509449770877287, -1.0112161376073736, 0.31474939382481165, -1.0714872981270183]","[-0.036018088809620034, 0.5559448244597528, 1.130994511635715, -0.08140191216027196, 0.830400356975553, 0.05277634818078591, 0.06325902476993106, -2.5888581522837906, 0.07290308723194457]","[-0.6695219644920669, 1.8333638840764075, 0.5193488135779585, 0.8322095446490178, -0.5443776720636432, 1.0824981295058653, -1.044954841777338, -1.10752698799155, 0.269060228721111, -1.1700991342057618]","[-0.7368066718146201, 1.719215567567447, 0.7368066718146201, -0.6140055598455167, 0.9824088957528269, -1.1052100077219302, -1.1666105637064819, 0.18420166795365503]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
13,"[-5, -20, -6, -3, -5, -11, -25]","[-6, -25, -5, -11, -3, -5, -20]","[-3, -18, -4, -1, -3, -9, -23]","[-10, -40, -12, -6, -10, -22, -50]","[-0.2, -0.05, -0.16666666666666666, -0.3333333333333333, -0.2, -0.09090909090909091, -0.04]","[-5, -20, -6, -3, -5, -11, 2, -25]","[-5, -20, -6, -3, -5, -25]","[0.7228653341479776, -1.1746561679904637, 0.5963639006720814, 0.9758682010997697, 0.7228653341479776, -0.03614326670739898, -1.8071633353699441]","[0.5963639006720816, -1.8071633353699443, 0.7228653341479776, -0.03614326670739898, 0.9758682010997698, 0.7228653341479776, -1.174656167990464]","[0.7228653341479776, -1.1746561679904637, 0.5963639006720814, 0.9758682010997697, 0.7228653341479776, -0.03614326670739898, -1.8071633353699441]","[0.7228653341479776, -1.1746561679904637, 0.5963639006720814, 0.9758682010997697, 0.7228653341479776, -0.03614326670739898, -1.8071633353699441]","[-0.4754566234234138, 1.0890801288673058, -0.12778178958103148, -1.8661559587929422, -0.4754566234234138, 0.6623882873334732, 1.1933825790200205]","[0.4849272051548432, -1.2784444499536776, 0.36736909481427515, 0.7200434258359794, 0.4849272051548432, -0.2204214568885651, 1.3078339775388197, -1.866235001656518]","[0.6637384880265756, -1.0932163332202425, 0.5466081666101211, 0.8979991308594848, 0.6637384880265756, -1.6788679403025153]",Violate,Violate,Violate,Violate,No-violate,No-violate,1,1,1,1,0,0
14,"[-24, -11, 8, -18, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[-6, -18, 8, 8, 12, -24, -18, 6, -11, 10, -3, -19, 3]","[-22, -9, 10, -16, 14, -16, -17, 12, 5, 10, 8, -1, -4]","[-48, -22, 16, -36, 24, -36, -38, 20, 6, 16, 12, -6, -12]","[-0.041666666666666664, -0.09090909090909091, 0.125, -0.05555555555555555, 0.08333333333333333, -0.05555555555555555, -0.05263157894736842, 0.1, 0.3333333333333333, 0.125, 0.16666666666666666, -0.3333333333333333, -0.16666666666666666]","[-24, -11, 2, 8, -18, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[-24, -11, 8, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[-1.6288220358559113, -0.5700877125495689, 0.9772932215135468, -1.1401754250991378, 1.303057628684729, -1.1401754250991378, -1.2216165268919335, 1.1401754250991378, 0.5700877125495689, 0.9772932215135468, 0.8144110179279557, 0.08144110179279557, -0.16288220358559113]","[-0.16288220358559113, -1.1401754250991378, 0.9772932215135468, 0.9772932215135468, 1.303057628684729, -1.6288220358559113, -1.1401754250991378, 0.8144110179279557, -0.5700877125495689, 1.1401754250991378, 0.08144110179279557, -1.2216165268919335, 0.5700877125495689]","[-1.6288220358559113, -0.5700877125495689, 0.9772932215135468, -1.1401754250991378, 1.303057628684729, -1.1401754250991378, -1.2216165268919335, 1.1401754250991378, 0.5700877125495689, 0.9772932215135468, 0.8144110179279557, 0.08144110179279557, -0.16288220358559113]","[-1.6288220358559113, -0.5700877125495689, 0.9772932215135468, -1.1401754250991378, 1.303057628684729, -1.1401754250991378, -1.2216165268919335, 1.1401754250991378, 0.5700877125495689, 0.9772932215135468, 0.8144110179279557, 0.08144110179279557, -0.16288220358559113]","[-0.32118032201773594, -0.6241266288089049, 0.7041764086600666, -0.4066267162408862, 0.447837225990616, -0.4066267162408862, -0.3886380016675914, 0.5503728990583963, 1.9858723220073196, 0.7041764086600666, 0.9605155913295171, -2.11555460070389, -1.090197870026088]","[-1.7119917833968221, -0.6225424666897535, 0.46690685001731513, 0.9697296115744237, -1.2091690218397135, 1.3049447859458294, -1.2091690218397135, -1.292972815432565, 1.1373371987601266, 0.5507106436101665, 0.9697296115744237, 0.8021220243887208, 0.04788788205305798, -0.20352349872549633]","[-1.7539362015542757, -0.6767155423319645, 0.8976838826852591, 1.229136393215201, -1.2567574357593627, -1.3396205633918483, 1.06341013795023, 0.4833682445228319, 0.8976838826852591, 0.7319576274202882, -0.013810521272080897, -0.2623999041695373]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
15,[],[],[],[],[],[2],[],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
16,"[-27, -2, -18, -1, -7, 17, 5, -25]","[-27, 5, -18, 17, -2, -25, -7, -1]","[-25, 0, -16, 1, -5, 19, 7, -23]","[-54, -4, -36, -2, -14, 34, 10, -50]","[-0.037037037037037035, -0.5, -0.05555555555555555, -1.0, -0.14285714285714285, 0.058823529411764705, 0.2, -0.04]","[2, -27, -2, -18, -1, -7, 17, 5, -25]","[-27, -2, -18, -1, -7, 5, -25]","[-1.3855385271260856, 0.3683077097423772, -0.754153881853439, 0.4384615592171157, 0.01753846236868463, 1.701230849762409, 0.8593846560655468, -1.2452308281766087]","[-1.3855385271260856, 0.8593846560655468, -0.754153881853439, 1.701230849762409, 0.3683077097423772, -1.2452308281766087, 0.01753846236868463, 0.4384615592171157]","[-1.3855385271260856, 0.3683077097423772, -0.754153881853439, 0.4384615592171157, 0.01753846236868463, 1.701230849762409, 0.8593846560655468, -1.2452308281766087]","[-1.3855385271260856, 0.3683077097423772, -0.754153881853439, 0.4384615592171157, 0.01753846236868463, 1.701230849762409, 0.8593846560655468, -1.2452308281766087]","[0.4246261735180756, -0.8641151078304599, 0.3730765222641342, -2.2559556916868777, 0.1300567377812675, 0.69147142706789, 1.0844617095685258, 0.41637822931744495]","[0.5979810182259531, -1.5111141947061248, 0.30707133368359757, -0.8565674044858248, 0.37979875481918646, -0.05656577199434691, 1.6888923352597864, 0.8161632816327198, -1.365659352434947]","[-1.395441871301775, 0.7466838083281427, -0.6242766266350047, 0.8323688355133395, 0.31825867240215916, 1.3464789986245198, -1.2240718169313818]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
17,"[-13, 21, 18, -20, -29, -2, 2, -11, -16]","[21, 2, -11, -2, -29, -13, -20, -16, 18]","[-11, 23, 20, -18, -27, 0, 4, -9, -14]","[-26, 42, 36, -40, -58, -4, 4, -22, -32]","[-0.07692307692307693, 0.047619047619047616, 0.05555555555555555, -0.05, -0.034482758620689655, -0.5, 0.5, -0.09090909090909091, -0.0625]","[-13, 21, 18, -20, -29, -2, 2, -11, 2, -16]","[-13, 21, 18, -20, -29, 2, -11, -16]","[-0.4674924302559782, 1.6676222512116239, 1.4792297793174236, -0.9070748646757786, -1.472252280358379, 0.2232799666894224, 0.4744699292150226, -0.3418974489931781, -0.6558849021501784]","[1.667622251211624, 0.4744699292150227, -0.34189744899317814, 0.22327996668942243, -1.4722522803583793, -0.46749243025597825, -0.9070748646757787, -0.6558849021501785, 1.4792297793174238]","[-0.4674924302559782, 1.6676222512116239, 1.4792297793174236, -0.9070748646757786, -1.472252280358379, 0.2232799666894224, 0.4744699292150226, -0.3418974489931781, -0.6558849021501784]","[-0.4674924302559782, 1.6676222512116239, 1.4792297793174236, -0.9070748646757786, -1.472252280358379, 0.2232799666894224, 0.4744699292150226, -0.3418974489931781, -0.6558849021501784]","[-0.2217297911473306, 0.29532692912841135, 0.32827662208715963, -0.10995429426419223, -0.04553196354829476, -1.9782018850252188, 2.1734594277770625, -0.27979498433337646, -0.16185006067422075]","[-0.5367853374090235, 1.6889099640430252, 1.4925250845031384, -0.9950167230020922, -1.584171361621752, 0.1832925542372275, 0.44513906029040967, -0.4058620843824324, 0.44513906029040967, -0.73317021694891]","[-0.41573970964154905, 1.6035674514745464, 1.4253932901995967, -0.8314794192830981, -1.366001903107947, 0.4751310967331989, -0.2969569354582493, -0.5939138709164986]",Violate,Violate,Violate,Violate,No-violate,No-violate,1,1,1,1,0,0
18,"[15, -28, 21, -27, -3, -6, -27]","[15, 21, -27, -27, -6, -3, -28]","[17, -26, 23, -25, -1, -4, -25]","[30, -56, 42, -54, -6, -12, -54]","[0.06666666666666667, -0.03571428571428571, 0.047619047619047616, -0.037037037037037035, -0.3333333333333333, -0.16666666666666666, -0.037037037037037035]","[15, -28, 21, 2, -27, -3, -6, -27]","[-28, 21, -27, -3, -6, -27]","[1.20447237904793, -1.0614412840359881, 1.5206463785480115, -1.0087456174526412, 0.2559503805476851, 0.09786338079764428, -1.0087456174526412]","[1.20447237904793, 1.5206463785480115, -1.0087456174526412, -1.0087456174526412, 0.09786338079764428, 0.2559503805476851, -1.0614412840359881]","[1.20447237904793, -1.0614412840359881, 1.5206463785480115, -1.0087456174526412, 0.2559503805476851, 0.09786338079764428, -1.0087456174526412]","[1.20447237904793, -1.0614412840359881, 1.5206463785480115, -1.0087456174526412, 0.2559503805476851, 0.09786338079764428, -1.0087456174526412]","[1.0745188122540437, 0.2741692212735091, 0.9256165627692932, 0.26382878728151254, -2.0524284269257196, -0.7495337439341515, 0.26382878728151254]","[1.198186218189798, -1.1843343543956963, 1.530630949248239, 0.477889300896509, -1.1289268992192893, 0.2008520250144748, 0.034629659485254274, -1.1289268992192893]","[-0.9151288217386122, 1.830257643477224, -0.8591005265301257, 0.48557855847354925, 0.3174936728480899, -0.8591005265301257]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
19,"[-4, -25, 24, 14, 23, -16, -21, -24, -16, -25, -9, 14]","[-25, -4, -9, 24, 14, -24, 14, 23, -25, -21, -16, -16]","[-2, -23, 26, 16, 25, -14, -19, -22, -14, -23, -7, 16]","[-8, -50, 48, 28, 46, -32, -42, -48, -32, -50, -18, 28]","[-0.25, -0.04, 0.041666666666666664, 0.07142857142857142, 0.043478260869565216, -0.0625, -0.047619047619047616, -0.041666666666666664, -0.0625, -0.04, -0.1111111111111111, 0.07142857142857142]","[2, -4, -25, 24, 14, 23, -16, -21, -24, -16, -25, -9, 14]","[-4, -25, 24, 14, 23, -21, -24, -16, -25, -9, 14]","[0.0773919451281042, -1.0698298297120283, 1.6070209782482812, 1.060724894991075, 1.5523913699225604, -0.578163354780543, -0.851311396409146, -1.0152002213863078, -0.578163354780543, -1.0698298297120283, -0.1957560965004988, 1.060724894991075]","[-1.0698298297120283, 0.0773919451281042, -0.1957560965004988, 1.6070209782482812, 1.060724894991075, -1.0152002213863078, 1.060724894991075, 1.5523913699225604, -1.0698298297120283, -0.851311396409146, -0.578163354780543, -0.578163354780543]","[0.07739194512810418, -1.0698298297120283, 1.6070209782482812, 1.060724894991075, 1.5523913699225604, -0.578163354780543, -0.8513113964091461, -1.0152002213863078, -0.578163354780543, -1.0698298297120283, -0.19575609650049883, 1.060724894991075]","[0.0773919451281042, -1.0698298297120283, 1.6070209782482812, 1.060724894991075, 1.5523913699225604, -0.578163354780543, -0.851311396409146, -1.0152002213863078, -0.578163354780543, -1.0698298297120283, -0.1957560965004988, 1.060724894991075]","[-2.4968011709436544, -0.051055185229298035, 0.9000682536596183, 1.2466875827007684, 0.921166821514297, -0.3130993979844076, -0.13978973346383247, -0.07046586765560241, -0.3130993979844076, -0.051055185229298035, -0.8792443020849531, 1.2466875827007684]","[0.38683953692148026, 0.04781162815883463, -1.1387860525104252, 1.629941869051181, 1.0648953544467716, 1.57343721759074, -0.6302441893664567, -0.9127674466686614, -1.0822814010499842, -0.6302441893664567, -1.1387860525104252, -0.2347116291433701, 1.0648953544467716]","[0.024144167408464676, -1.0913163668626045, 1.51142487976989, 0.9802531967836666, 1.4583077114712677, -0.878847693668115, -1.038199198563982, -0.6132618521750034, -1.0913163668626045, -0.24144167408464698, 0.9802531967836666]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
